fecha_utc,sku,child_asin,listing_status,listing_current_quantity,fba_quantity_available,listing_fulfillment_channel
2026-08-12,058F2BD8B0AB86A89A2E9D2EFE505473,B088DG1N6Z,Incomplete,0,0,DEFAULT
2026-08-12,250E7D05-C4QQGTFJPY,B071V7L1P9,Inactive,593,0,DEFAULT
2026-08-12,4686719464D15E3F104BBB0FD1DE3F04,B0CCS1F1BT,Incomplete,0,0,DEFAULT
2026-08-12,65EBCBD2883D06DF8567F212FCCC77F5,B09HKRL7NK,Incomplete,0,0,DEFAULT
2026-08-12,6C8419863841997688DEE68739919D5D,B07B8W8TJJ,Inactive,0,0,DEFAULT
2026-08-12,89C55F47FE9BC114594AD976DC263E80,B088DGRRFQ,Incomplete,0,0,DEFAULT
2026-08-12,8E22B7A18D53F5DE8C9F409DCFCA35FC,B0B9HQF3N5,Incomplete,0,0,DEFAULT
2026-08-12,940609,B06XBGB865,Inactive,0,0,AMAZON_EU
2026-08-12,941050,B0786SKL37,Inactive,0,0,DEFAULT
2026-08-12,941051,B0792LNGNK,Active,0,492,AMAZON_EU
2026-08-12,941671,B074942N3Q,Inactive,0,0,AMAZON_EU
2026-08-12,941824,B07891TLVM,Inactive,0,0,DEFAULT
2026-08-12,941825,B0DSQTX8LN,Inactive,0,0,DEFAULT
2026-08-12,943174,B07CQMJTS8,Active,0,198,AMAZON_EU
2026-08-12,943254,B07Q8JZ9B5,Inactive,0,0,DEFAULT
2026-08-12,943255,B07Q7G2XJM,Inactive,0,0,DEFAULT
2026-08-12,943294,B079SBBD3T,Inactive,0,0,AMAZON_EU
2026-08-12,943303,B07BGBQQRZ,Inactive,0,0,AMAZON_EU
2026-08-12,943303_1,B0FV3MCRTQ,Active,1534,0,DEFAULT
2026-08-12,943304,B07BGD9KWZ,Inactive,0,0,AMAZON_EU
2026-08-12,943304_1,B0FV3MKCRC,Active,3189,0,DEFAULT
2026-08-12,943321,B07J1ZXZNF,Inactive,0,0,AMAZON_EU
2026-08-12,943322,B07J1ZDLDL,Inactive,0,0,AMAZON_EU
2026-08-12,943343,B07FN9QC1C,Active,0,24,AMAZON_EU
2026-08-12,943352,B07Q39JYVV,Active,0,20,AMAZON_EU
2026-08-12,943371,B07NTXY689,Inactive,0,0,AMAZON_EU
2026-08-12,943529,B07NDNYZJ3,Inactive,0,0,AMAZON_EU
2026-08-12,943542,B07NTXVLMS,Active,1882,0,DEFAULT
2026-08-12,943558,B07NKJL5MH,Active,0,0,AMAZON_EU
2026-08-12,943558_0,B0GGRS1T6R,Active,0,481,AMAZON_EU
2026-08-12,943559,B07Q481WWR,Active,313,0,DEFAULT
2026-08-12,943614,B07T8QGWV8,Active,0,33,AMAZON_EU
2026-08-12,943615,B07TBV2MRR,Active,0,55,AMAZON_EU
2026-08-12,943616,B07T9V3ZC1,Active,4,0,DEFAULT
2026-08-12,943623,B07VP94MQM,Inactive,0,0,DEFAULT
2026-08-12,943623_1,B0FPTZN6L7,Active,0,335,AMAZON_EU
2026-08-12,943624_1,B0FKNG4JJZ,Active,0,375,AMAZON_EU
2026-08-12,943625,B07VNBT2LX,Inactive,0,0,AMAZON_EU
2026-08-12,943625_1,B0FV3K4STW,Active,0,205,AMAZON_EU
2026-08-12,943626,B07VNBSXK7,Active,0,304,AMAZON_EU
2026-08-12,943657,B07WSJHS34,Inactive,0,0,AMAZON_EU
2026-08-12,943699,B082XKYCDT,Inactive,0,0,AMAZON_EU
2026-08-12,943699_1,B0FGJZKZ9V,Active,1202,0,DEFAULT
2026-08-12,943700,B082XKMNV8,Active,2260,0,DEFAULT
2026-08-12,943871,B08KTC12JV,Active,0,104,AMAZON_EU
2026-08-12,943871_0,B08KTC12JV,Inactive,0,0,DEFAULT
2026-08-12,943872,B08F2Q2XTF,Inactive,0,0,DEFAULT
2026-08-12,943875,B09CDY4FFQ,Active,0,54,AMAZON_EU
2026-08-12,943889,B08512S9LJ,Inactive,0,0,DEFAULT
2026-08-12,944054,B0DXKT1J8X,Inactive,0,0,AMAZON_EU
2026-08-12,944054_1,B09CDXYHRY,Active,0,82,AMAZON_EU
2026-08-12,944055,B08PZF6SFB,Inactive,0,0,AMAZON_EU
2026-08-12,944056,B08PZCRP8Z,Inactive,0,0,DEFAULT
2026-08-12,944121,B08CBFHDBX,Inactive,0,0,AMAZON_EU
2026-08-12,944134,B0FVY7F25X,Active,605,0,DEFAULT
2026-08-12,944149,B09N3XPCMD,Active,198,0,DEFAULT
2026-08-12,944149-new,B0FFT7S1V9,Active,201,0,DEFAULT
2026-08-12,944150,B0B6F639ML,Inactive,0,0,DEFAULT
2026-08-12,944184,B08ZNR1PS9,Inactive,0,0,AMAZON_EU
2026-08-12,944204,B08PZJCMZS,Active,0,109,AMAZON_EU
2026-08-12,944205,B09GS8RFBX,Inactive,0,0,DEFAULT
2026-08-12,944206,B09GW1LQLF,Inactive,0,0,AMAZON_EU
2026-08-12,944207,B09CDDG31G,Inactive,0,0,AMAZON_EU
2026-08-12,944209,B0C3CSP64V,Inactive,0,0,DEFAULT
2026-08-12,944211,B09RSXRJXV,Active,0,97,AMAZON_EU
2026-08-12,944216,B0CYLPGR96,Active,1129,0,DEFAULT
2026-08-12,944217,B0C2872T73,Active,0,14,AMAZON_EU
2026-08-12,944219,B0DMFFGM1Z,Active,327,0,DEFAULT
2026-08-12,944222,B0C81X2HR2,Inactive,0,0,AMAZON_EU
2026-08-12,944276,B08LNLXCR4,Active,13,0,DEFAULT
2026-08-12,944489,B096SX2H9T,Inactive,0,0,DEFAULT
2026-08-12,944490,B099X97GQT,Inactive,0,0,DEFAULT
2026-08-12,944503,B0BMQC2MKW,Active,0,114,AMAZON_EU
2026-08-12,944504,B0BMLMQZTK,Inactive,0,0,AMAZON_EU
2026-08-12,944504_1,B0FX4ZXBJK,Active,1123,0,DEFAULT
2026-08-12,944505,B0BMQD2S3F,Inactive,0,0,DEFAULT
2026-08-12,944505_0,B0FFHGRV14,Active,0,42,AMAZON_EU
2026-08-12,944506,B0BBMN2LLM,Active,0,24,AMAZON_EU
2026-08-12,944507,B0BBMNQ7RW,Inactive,0,0,DEFAULT
2026-08-12,944528,B09FLZDZDQ,Inactive,0,0,DEFAULT
2026-08-12,944528-new,B0FFTND48P,Active,0,539,AMAZON_EU
2026-08-12,944529,B09FLZMXYQ,Active,601,0,DEFAULT
2026-08-12,944529_1,B0FV3H5PVK,Active,0,403,AMAZON_EU
2026-08-12,944545,B096BRQYFS,Inactive,0,0,DEFAULT
2026-08-12,944546,B096BPL9QV,Inactive,0,0,DEFAULT
2026-08-12,944547,B099SYTMWQ,Inactive,0,0,DEFAULT
2026-08-12,944549,B096BH2W16,Inactive,0,0,DEFAULT
2026-08-12,944550,B099TC292D,Inactive,0,0,DEFAULT
2026-08-12,944552,B096BDNXZC,Inactive,0,0,DEFAULT
2026-08-12,944553,B099T7TFP6,Inactive,0,0,DEFAULT
2026-08-12,944597,B0FPTM51H9,Active,0,148,AMAZON_EU
2026-08-12,944619,B0BBMNCVNX,Inactive,0,0,DEFAULT
2026-08-12,944621,B09HCTGQJ9,Active,22,0,DEFAULT
2026-08-12,944622,B09HTVRCNZ,Inactive,0,0,DEFAULT
2026-08-12,944637,B0H6C3YVB9,Active,414,0,DEFAULT
2026-08-12,944638,B0H6BXM815,Active,313,0,DEFAULT
2026-08-12,944651,B0BVRTQQQK,Active,0,214,AMAZON_EU
2026-08-12,944652,B0BVRSGQKM,Inactive,0,0,DEFAULT
2026-08-12,944652_1,B0FPTTGQ7T,Inactive,0,0,DEFAULT
2026-08-12,944653,B0DWXXQKHL,Inactive,0,0,AMAZON_EU
2026-08-12,944653_1,B0BMLQVQ7N,Inactive,0,0,AMAZON_EU
2026-08-12,944654,B09JKWCKTL,Inactive,0,0,AMAZON_EU
2026-08-12,944655,B0D93ZZTTY,Active,1160,0,DEFAULT
2026-08-12,944707,B0CBM3J75P,Active,0,116,AMAZON_EU
2026-08-12,944708,B0BC9RTTBW,Inactive,0,0,AMAZON_EU
2026-08-12,944709,B0BC96L7WH,Active,0,1,AMAZON_EU
2026-08-12,944709_1,B0FV8KGQSB,Active,0,51,AMAZON_EU
2026-08-12,944725,B09C8ZR2VG,Inactive,0,0,AMAZON_EU
2026-08-12,944726,B09C91PG8L,Inactive,0,0,AMAZON_EU
2026-08-12,944729,B09PZ4CL6C,Inactive,0,0,AMAZON_EU
2026-08-12,944730,B09PZ33X7N,Inactive,0,0,AMAZON_EU
2026-08-12,944731,B09PZ5VBK4,Inactive,0,0,AMAZON_EU
2026-08-12,944732,B09PZ5ZQVY,Inactive,0,0,AMAZON_EU
2026-08-12,944837,B09FK84WX5,Inactive,0,0,AMAZON_EU
2026-08-12,945030,B09N3WSNVM,Active,198,0,DEFAULT
2026-08-12,945086,B0B5GN4T25,Active,267,0,DEFAULT
2026-08-12,945090,B0B5VHPF2G,Inactive,0,0,AMAZON_EU
2026-08-12,945097,B0BV7334YP,Active,0,136,AMAZON_EU
2026-08-12,945099,B0CC69PSPB,Inactive,0,0,AMAZON_EU
2026-08-12,945112,B0CZS18SM7,Active,1295,0,DEFAULT
2026-08-12,945114,B0C2DGYHK4,Active,545,0,DEFAULT
2026-08-12,945166,B0BC29BLTM,Active,166,0,DEFAULT
2026-08-12,945213,B0B5D6Q9J7,Active,533,0,DEFAULT
2026-08-12,945223,B0C49X86VL,Inactive,0,0,DEFAULT
2026-08-12,945224,B0C2ZPR8G3,Inactive,0,0,DEFAULT
2026-08-12,945379,B0C6BLY8NB,Active,0,249,AMAZON_EU
2026-08-12,945400,B0FPTNFKV5,Inactive,0,0,AMAZON_EU
2026-08-12,945491,B0G2RXR1WH,Inactive,0,0,DEFAULT
2026-08-12,945499,B0FPTB4675,Active,605,0,DEFAULT
2026-08-12,945506,B0C24RT5KV,Inactive,0,0,DEFAULT
2026-08-12,945510,B0C1NVH7X1,Inactive,0,0,DEFAULT
2026-08-12,945517,B0C24M8BXP,Inactive,0,0,DEFAULT
2026-08-12,945527,B0C24QWYWN,Inactive,0,0,DEFAULT
2026-08-12,945530,B0C1P3JNFC,Inactive,0,0,AMAZON_EU
2026-08-12,945530_1,B0FWKWHJ1X,Inactive,0,0,DEFAULT
2026-08-12,945533,B0C24R4DFN,Inactive,0,0,DEFAULT
2026-08-12,945536,B0C1P39PLZ,Inactive,0,0,DEFAULT
2026-08-12,945602,B0BWS221Y5,Inactive,0,0,DEFAULT
2026-08-12,945603,B0CNQ5TC4J,Inactive,0,0,DEFAULT
2026-08-12,945605,B0CNPYZTS2,Active,615,0,DEFAULT
2026-08-12,945606,B0CL56QRX6,Inactive,0,0,DEFAULT
2026-08-12,945609,B0CZTT6RW7,Inactive,0,0,DEFAULT
2026-08-12,945613,B0F48D4BFV,Active,335,0,DEFAULT
2026-08-12,945615,B0DGVCN1CT,Active,894,0,DEFAULT
2026-08-12,945616,B0CY5J9QCV,Active,0,50,AMAZON_EU
2026-08-12,945620,B0CNH9111F,Active,0,109,AMAZON_EU
2026-08-12,945622,B0D8K1J3QQ,Active,0,282,AMAZON_EU
2026-08-12,945630,B0C7CXX4HH,Inactive,0,0,DEFAULT
2026-08-12,945638,B0F13S26ZN,Inactive,0,0,DEFAULT
2026-08-12,945766,B0CNQ59SFJ,Inactive,0,0,DEFAULT
2026-08-12,945769,B0CTMZFGYK,Inactive,0,0,AMAZON_EU
2026-08-12,945784,B0FPT6P24R,Active,166,0,DEFAULT
2026-08-12,945835,B0CW1R9DT1,Active,566,0,DEFAULT
2026-08-12,945841,B0CC34PWMT,Inactive,0,0,DEFAULT
2026-08-12,945845,B0D3M6SVMZ,Inactive,0,0,AMAZON_EU
2026-08-12,945848,B0CYLPB7G9,Inactive,0,0,DEFAULT
2026-08-12,945853,B0FPTNKQDT,Active,1302,0,DEFAULT
2026-08-12,945854,B0FPV3D7CB,Active,159,0,DEFAULT
2026-08-12,945915,B0D42719VL,Active,400,0,DEFAULT
2026-08-12,945924,B0CZTMM82L,Inactive,0,0,AMAZON_EU
2026-08-12,945960,B0FGQL8PJH,Active,1126,0,DEFAULT
2026-08-12,945961,B0F24SRW8W,Inactive,0,0,DEFAULT
2026-08-12,945964,B0CNHCF28J,Active,522,0,DEFAULT
